Name,Link
"Velde II, Willem van de",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=2790

"Velde the Elder, Willem van de",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=14063

"Velde the Younger, Willem van de",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=2790

"Veli, Benedetto",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=31169

"Vellano, Bartolomeo",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=2013

"Vellert, Dierick Jacobsz",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=3273

"Vellert, Dirick Jacobsz",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=3273

"Vellert, Dirk Jacobsz",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=3273

"Velonis, Anthony",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=34101

Velut,https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=6071

"Vendramini, Giovanni",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=3274

"Venet, Bernar",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=10083

Venetian 14th Century,https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=8289

Venetian 15th Century,https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=8299

Venetian 16th Century,https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=8312

Venetian 17th Century,https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=8330

"Veneto, Bartolomeo",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=462

Veneto region 16th Century,https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=34671

Veneto-Islamic 16th Century,https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=8325

"Venezia, Domenico di Bartolo da",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=1230

"Veneziano, Agostino",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=2873

"Veneziano, Domenico",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=1230

"Venne, Adriaen Pietersz van de",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=3275

"Venturini, Giovanni Francesco",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=3276

"Verbeeck, Cornelis",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=15072

"Verbeeck, Cornelius",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=15072

"Verbeecq, Cornelis",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=15072

"Verbeke, Lucien",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=8165

"Verdernikov, Alexander Semenovich",https://web.archive.org/web/20121006053715/http://www.nga.gov/cgi-bin/tsearch?artistid=3277

"Verdet, Andr�",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=21204

"Verdier, Fran�ois",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=6838

"Verelst, John",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=3278

"Verelst, Maria",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=6648

"Veresmith, Daniel Albert",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=35127

"Vergani, William",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=8166

"Vergil, Polydore",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=7123

"Vergilius, Polydorus",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=7123

"Vergilius Maro, Publius",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=7084

"Verhaecht, Tobias",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=2791

"Verheyden, Pieter",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=4344

"Verkauf, Willy",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=3281

"Verkolje, Nicolaas",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=3279

"Verkolje I, Jan",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=5662

"Verkruis, Theodor",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=3280

"Verkruys, Theodor",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=3280

"Verlaine, Paul",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=22836

"Verlon, Andr�",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=3281

"Vermeer, Jan",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=1951

"Vermeer, Johannes",https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=1951

Vermeer van Delft,https://web.archive.org/web/20121006053521/http://www.nga.gov/cgi-bin/tsearch?artistid=1951

